Filepath	Title	Performers
./2015/20150320_MIA MF CE/T282.WAV	20150320_MiamiFLMF CE_rehearsal2	Micahel Feinstein and Christine Ebersole
./2015/20150320_MIA MF CE/T283.WAV	20150320_MiamiFLMF CE_rehearsal3	Micahel Feinstein and Christine Ebersole
./2015/20150320_MIA MF CE/T284.WAV	20150320_MiamiFLMF CE_act1	Micahel Feinstein and Christine Ebersole
./2015/20150320_MIA MF CE/T285.WAV	20150320_MiamiFLMF CE_act 2	Micahel Feinstein and Christine Ebersole
./2015/20150322_Carmel MFMM/T286.WAV	20150322_CarmelIN MFMM_rehearsal1	Michael Feinstein and Marilyn Maye
./2015/20150322_Carmel MFMM/T287.WAV	20150322_CarmelIN MFMM_rehearsal2	Michael Feinstein and Marilyn Maye
./2015/20150322_Carmel MFMM/T288.WAV	20150322_CarmelIN MFMM_act1	Michael Feinstein and Marilyn Maye
./2015/20150322_Carmel MFMM/T289.WAV	20150322_CarmelIN MFMM_act2	Michael Feinstein and Marilyn Maye
./2015/20150330_WPB/T291.WAV	20150330_WestPalmBeachPops_rehearsal	Michael Feinstein
./2015/20150330_WPB/T292.WAV	20150330_WestPalmBeachPops_act 1	Michael Feinstein
./2015/20150330_WPB/T293 copy.WAV	20150330_WestPalmBeachPops_act 2	Michael Feinstein
./2015/20150330_WPB/T293.WAV	20150330_WestPalmBeachPops_act 2	Michael Feinstein
./2015/20150415_JALC/T301.WAV	20150415_JALC_NYC	Michael Feinstein
./2015/20150416_JALC/T302.WAV	20150416_JALC_7PM_NYC	Michael Feinstein
./2015/20150416_JALC/T303.WAV	20150416_JALC_9PM_NYC	Michael Feinstein
./2015/20150418_LasVegas/T304.WAV	20150418_LasVegasNV_rehearsal	Michael Feinstein
./2015/20150418_LasVegas/T305.WAV	20150418_LasVegasNV	Michael Feinstein
./2015/20150425_SanDiegoCA/T306.WAV	20150425_SanDiegoCA_act1	Michael Feinstein
./2015/20150425_SanDiegoCA/T307.WAV	20150425_SanDiegoCA_act2	Michael Feinstein
./2015/20150507_FayettevilleAK/20150507_FayettevilleAK_T308.WAV	20150507_FayettevilleAK	Michael Feinstein
./2015/20150509_OverlandParkKS/20150509_OverlandParkKS_T309.WAV	20150509_OverlandParkKS_act1	Michael Feinstein
./2015/20150509_OverlandParkKS/20150509_OverlandParkKS_T310.WAV	20150509_OverlandParkKS_act2	Michael Feinstein
./2015/20150510_ManahattaKS/T311.WAV	20150510_ManahattaKS_act1	Michael Feinstein
./2015/20150510_ManahattaKS/T312.WAV	20150510_ManahattaKS_act2	Michael Feinstein
./2015/20150513_JALC/T313.WAV	20150513_NewYorkNY_JALC	Michael Feinstein
./2015/20150514_JALC/20150514_MF_JALC Act 1.WAV	20150514_NewYorkNY_7PM_JALC	Michael Feinstein
./2015/20150514_JALC/T315.WAV	20150514_NewYorkNY_9PM_JALC	Michael Feinstein
./2015/20150528_MidlandMI_combo/T322.WAV	20150528_MidlandMI_combo	Michael Feinstein
./2015/20150529_Rochester/T323.WAV	20150529_RochesterNYSymphony_rehearsal	Michael Feinstein
./2015/20150529_Rochester/T324.WAV	20150529_RochesterNYSymphony_act1	Michael Feinstein
./2015/20150529_Rochester/T325.WAV	20150529_RochesterNYSymphony_act2	Michael Feinstein
./2015/20150530_Rochester/20150530_rochesterAct1_T326.WAV	20150530_RochesterNYSymphny_Act1	Michael Feinstein
./2015/20150530_Rochester/20150530_RochesterAct2_T327.WAV	20150530_RochesterNYSymphony_Act2	Michael Feinstein
./2015/20150606_westburyNY/20150606_westburyNY_T328.WAV	20150606_westburyNY_N/A	Michael Feinstein
./2015/20150606_westburyNY/20150606_westburyNY_T329.WAV	20150606_westburyNY	Michael Feinstein
./2015/20150620_Pasasdenapops/20150620_Pasasdenapops_T330.WAV	20150620_Pasasdenapops_act1	Michael Feinstein
./2015/20150620_Pasasdenapops/20150620_Pasasdenapops_T331.WAV	20150620_Pasasdenapops_act2	Michael Feinstein
./2015/20150627_musicbythe lake/T332.WAV	20150627_WilliamsBayWI	Michael Feinstein
./2015/20150718_cleveland/20150718_cleveland_T339.WAV	20150718_clevelandOH_act1	Michael Feinstein
./2015/20150718_cleveland/20150718_cleveland_T340.WAV	20150718_clevelandOH_act2	Michael Feinstein
./2015/20150725_CarmelIN/T341.WAV	20150725_CarmelIN_act1	Michael Feinstein
./2015/20150725_CarmelIN/T342.WAV	/20150725_CarmelIN_N/A	Michael Feinstein
./2015/20150725_CarmelIN/T343.WAV	20150725_CarmelIN_act2	Michael Feinstein
./2015/20150801_pasadenapops/T345.WAV	20150731_pasadenapops_rehearsal1	Michael Feinstein
./2015/20150801_pasadenapops/T346.WAV	20150801_pasadenapops_rehearsal2	Michael Feinstein
./2015/20150801_pasadenapops/T347.WAV	20150801_pasadenapops_act1	Michael Feinstein
./2015/20150801_pasadenapops/T348.WAV	20150801_pasadenapops_N/A	Michael Feinstein
./2015/20150801_pasadenapops/T349.WAV	20150801_pasadenapops_act2	Michael Feinstein
./2015/20150822_pasadeanpops/20150822_pasadenapops_Act1_T350.WAV	20150822_pasadeanpops_act1	Michael Feinstein
./2015/20150822_pasadeanpops/20150822_pasadenapops_act2_T354.WAV	20150822_pasadeanpops_act2	Michael Feinstein
./2015/20150822_pasadeanpops/T351.WAV	20150822_pasadeanpops_N/A	Michael Feinstein
./2015/20150822_pasadeanpops/T352.WAV	20150822_pasadeanpops_N/A	Michael Feinstein
./2015/20150822_pasadeanpops/T353.WAV	20150822_pasadeanpops_N/A	Michael Feinstein
./2015/20150912_pasadenapops/T355.WAV	20150912_pasadenapops_act1	Michael Feinstein
./2015/20150912_pasadenapops/T356.WAV	20150912_pasadenapops_act2	Michael Feinstein
./2015/20150927_london/T357.WAV	20150927_london_act1	Michael Feinstein
./2015/20150927_london/T359.WAV	20150927_london_act2	Michael Feinstein
./2015/20151003_CarmelIN_Gala/T361.WAV	20151003_CarmelIN_Gala_speeches	Michael Feinstein
./2015/20151003_CarmelIN_Gala/T362.WAV	20151003_CarmelIN_Gala	Michael Feinstein
./2015/20151017_GalvenstonTXBB/T363.WAV	20151017_GalvenstonTX_rehearsal	Michael Feinstein
./2015/20151017_GalvenstonTXBB/T364.WAV	20151017_GalvenstonTX_act1	Michael Feinstein
./2015/20151017_GalvenstonTXBB/T365 copy.WAV	20151017_GalvenstonTX_copy_act1	Michael Feinstein
./2015/20151017_GalvenstonTXBB/T365.WAV	20151017_GalvenstonTX_act2	Michael Feinstein
./2015/20151022_Denver/T366.WAV	20151022_DenverCO_act1	Michael Feinstein
./2015/20151022_Denver/T367.WAV	20151022_DenverCo_act2	Michael Feinstein
./2015/20151024_Brooklyn/T368.WAV	20151024_BrooklynNY	Michael Feinstein
./2015/20151203_ATL Symphony/T406 copy.WAV	20151203_AtlantaGASymphony_copy_act1	Michael Feinstein
./2015/20151203_ATL Symphony/T406.WAV	20151203_AtlantaGASymphony_act1	Michael Feinstein
./2015/20151203_ATL Symphony/T407 copy.WAV	20151203_AtlantaGASymphony_copy_act2	Michael Feinstein
./2015/20151203_ATL Symphony/T407.WAV	20151203_AtlantaGASymphony_act2	Michael Feinstein
./2015/20151205_ChicagoCombo/T408.WAV	20151205_ChicagoIL_Combo	Michael Feinstein
./2015/20151211_StrathmoreBB/T409.WAV	20151211_StrathmoreMD_act1	Michael Feinstein
./2015/20151211_StrathmoreBB/T410.WAV	20151211_StrathmoreMD_N/A	Michael Feinstein
./2015/20151211_StrathmoreBB/T411.WAV	20151211_StrathmoreMD_act2	Michael Feinstein
./2015/20151212_NJPAC/T413 copy.WAV	20151212_NewJersey_NJPAC_copy_act1	Michael Feinstein
./2015/20151212_NJPAC/T413.WAV	20151212_NewJersey_NJPAC_act1	Michael Feinstein
